Compañia,Descripcion
REPSOL,Repsol es una empresa comercializadora de luz y gas española considerada como uno de los principales referentes del sector energético a nivel mundial.
ENDESA,"Endesa es una de las principales empresas comercializadoras de España y tiene una importante presencia en el mercado energético nacional. Con un modelo de negocio que les ha permitido formar parte de todo el proceso de distribución y comercialización de energía eléctrica y gasística, se calcula que, a día de hoy, Endesa cuenta con más de 11 millones de clientes."
IBERDROLA,"Iberdrola es una compañía dedicada a la producción, distribución y comercialización de energía. Está considerada una de las compañías comercializadoras más importantes del sector energético, y sus orígenes se remontan a finales del siglo XIX."
NATURGY,Naturgy es una importante empresa energética española con presencia internacional que ofrece suministro de luz y gas a empresas y particulares.
CEPSA,Cepsa es una de las compañías petrolíferas más importantes del mundo. Tiene presencia en los 5 continentes y casi un siglo de experiencia en el sector.
ENERGIA XXI,"Energía XXI es una empresa comercializadora que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, además del bono social de luz.
"
EDP,"EDP es una compañía energética portuguesa que opera en todo el territorio de la Península Ibérica y tiene presencia en Latinoamérica, África y Asia."
CURENERGIA,"
Curenergía es la comercializadora de último recurso del grupo Iberdrola. Ofrece las tarifas PVPC y TUR de luz y gas, así como el bono social eléctrico."
BASER,"Baser es una empresa comercializadora de energía que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, así como el bono social eléctrico."
TOTALENERGIES,"TotalEnergies es un grupo empresarial de origen francés que opera en el sector energético y en el petroquímico. A nivel mundial, se trata de la cuarta compañía privada más importante del sector energético, y cuenta con presencia en más de 130 países de todo el mundo."
BUTIK,Butik es una compañía española dedicada a la comercialización y suministro de luz y gas que ofrece también servicios de telefonía móvil e internet.
GAS & POWER,"Gas & Power es la comercializadora de referencia de Naturgy. Opera en el mercado regulado y ofrece las tarifas PVPC y TUR, además del bono social."
FENIE ENERGIA,"Feníe Energía es una compañía energética creada por expertos e instaladores eléctricos. Ofrece tarifas de luz y gas, así como asesoramiento energético.
"
PODO,Podo es una compañía comercializadora española que ofrece tarifas de luz 100 % verde y tarifas de gas tanto para hogares como para negocios y pymes.
MADRILEÑA RED DE GAS,"
Madrileña Red de Gas es una compañía del sector gasístico que se encarga de la distribución y el suministro de gas natural en la Comunidad de Madrid."
AUDAX RENOVABLES,Audax Renovables es una comercializadora que ofrece tarifas de luz y gas para hogares y empresas. También tiene gran presencia en el sector eólico.
FACTOR ENERGIA,Factor Energía es una comercializadora española que ofrece tarifas de electricidad sostenible y gas natural para clientes particulares y empresas.
DISA,"El grupo Disa es una de las empresas petroleras con más antigüedad de España. Sus servicios incluyen tarifas de luz y gas para hogares y empresas.
"
NEDGIA,"Nedgia es una empresa gasística española dedicada a la distribución y suministro de gas natural. Empresa líder en el sector, pertenece al grupo Naturgy."
ALDRO ENERGIA,"Aldro Energía, ahora llamada Plenitude, es una empresa cántabra del sector energético que ofrece tarifas de luz y gas para empresas y particulares.
"
GANA ENERGIA,Gana Energía es una compañía comercializadora valenciana fundada en 2015 que ofrece tarifas de luz y gas para particulares y pequeños negocios.
CHC ENERGIA,CHC Energía es una empresa comercializadora española de electricidad y gas natural del mercado libre que opera a lo largo de todo el territorio nacional.
ENERGYA VM,"Enérgya VM es una empresa comercializadora perteneciente al Grupo Villar Mir. Ofrece tarifas de luz 100 % verde y gas para empresas y particulares.
"
NORTEGAS,Nortegas es una compañía de distribución de gas natural y propano. Opera en el norte de España y cuenta con más de un millón de puntos de suministro.
REDEXIS,"Redexis es una distribuidora de gas natural y GLP que ofrece servicios de distribución a lo largo de todo el país a través de su amplia red de transporte.
"
OVO ENERGY,"OVO Energy es una compañía comercializadora de energía eléctrica 100 % verde de origen británico. En su apuesta por las energías renovables, OVO Energy ofrece una tarifa de luz con precio de mercado orientada a clientes domésticos."
XENERA,Xenera es una compañía del sector energético que opera en toda la Península. Ofrece tarifas de luz y gas a precio de mercado para clientes domésticos.
ESFERA LUZ,Esfera Luz es una empresa del Grupo Nexus Energía que comercializa tarifas de luz 100 % verde y gas para clientes particulares y pequeños negocios.
UNIELECTRICA,Unieléctrica es una empresa energética cordobesa que opera en el mercado libre. Ofrece tarifas sostenibles de luz y gas para hogares y empresas.
CATGAS,"Catgas es una compañía comercializadora de energía de origen catalán que ofrece tarifas de luz y gas para empresas y consumidores domésticos.
"
FC ENERGIA,FC Energía es una empresa comercializadora de tarifas de luz y gas basadas en energía sostenible. Actualmente forma parte del grupo Nexus Energía.
NEXUS ENERGIA,Nexus Energía es un grupo empresarial comercializador de tarifas de luz y gas que destaca por su actividad en el campo de las energías renovables.
AXPO IBERIA,"Axpo Iberia es una compañía del grupo suizo Axpo que ofrece tarifas de luz y gas para autónomos, negocios y grandes empresas en España y Portugal."
INTEGRA ENERGIA,"Integra Energía es una comercializadora española que ofrece tarifas de luz y gas para hogares y negocios, así como servicios de eficiencia energética."
ADS ENERGY,"ADS Energy es una empresa comercializadora de tarifas de luz y gas para distintos perfiles de consumo, desde clientes particulares a grandes empresas.
"
ALCANZIA,Alcanzia es una compañía comercializadora de tarifas de luz y gas de Valencia que opera en todo el territorio español desde 2013.
ACIS ENERGIA,"Acis Energía es una comercializadora de luz y gas enfocada en servicios para autoconsumo, eficiencia energética y movilidad sostenible."
ENERXIA GALEGA MAIS,Enerxía Galega Máis es una comercializadora gallega de tarifas de luz y gas cuyos servicios pueden contratarse en toda la península.
SWAP ENERGIA,"Swap Energía ofrece tarifas de luz y gas personalizadas, asesoramiento y un software propio para optimizar costes en hogares y empresas."
FORTULUZ,Fortuluz es una proveedora de energía verde y gas natural que permite calcular de forma online el ahorro en las facturas de sus clientes.
PEUSA,Peusa es una comercializadora de luz verde y de gas. Ofrece servicios de autoconsumo y movilidad sostenible para particulares y empresas.
CREAENERGIA,CreaEnergia es una comercializadora de luz verde y gas natural con tarifas de energía a precio de coste. Ofrece soluciones de autoconsumo.
AB ENERGIA,"ab energía comercializa tarifas de luz y gas, además de instalaciones de autoconsumo, puntos de carga de vehículos eléctricos y aerotermia."
NABALIA ENERGIA,"
Nabalia Energía comercializa todo tipo de tarifas de luz renovable y gas en España, Portugal e Italia. Ofrece también servicios de autoconsumo."
