Compañia,Descripcion
REPSOL,Repsol es una empresa comercializadora de luz y gas española considerada como uno de los principales referentes del sector energético a nivel mundial.
ENDESA,"Endesa es una de las principales empresas comercializadoras de España y tiene una importante presencia en el mercado energético nacional. Con un modelo de negocio que les ha permitido formar parte de todo el proceso de distribución y comercialización de energía eléctrica y gasística, se calcula que, a día de hoy, Endesa cuenta con más de 11 millones de clientes."
IBERDROLA,"Iberdrola es una compañía dedicada a la producción, distribución y comercialización de energía. Está considerada una de las compañías comercializadoras más importantes del sector energético, y sus orígenes se remontan a finales del siglo XIX."
NATURGY,"Naturgy es una importante empresa energética española con presencia internacional que ofrece suministro de luz y gas a empresas y particulares.

"
CEPSA,"Cepsa es una de las compañías petrolíferas más importantes del mundo. Tiene presencia en los 5 continentes y casi un siglo de experiencia en el sector.
"
ENERGIA XXI,"Energía XXI es una empresa comercializadora que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, además del bono social de luz.
"
EDP,"EDP es una compañía energética portuguesa que opera en todo el territorio de la Península Ibérica y tiene presencia en Latinoamérica, África y Asia.

"
CURENERGIA,"Curenergía es la comercializadora de último recurso del grupo Iberdrola. Ofrece las tarifas PVPC y TUR de luz y gas, así como el bono social eléctrico.

"
BASER,"Baser es una empresa comercializadora de energía que opera en el mercado regulado. Ofrece las tarifas PVPC y TUR, así como el bono social eléctrico.
"
TOTALENERGIES,"TotalEnergies es un grupo empresarial de origen francés que opera en el sector energético y en el petroquímico. A nivel mundial, se trata de la cuarta compañía privada más importante del sector energético, y cuenta con presencia en más de 130 países de todo el mundo."
BUTIK,"Butik es una compañía española dedicada a la comercialización y suministro de luz y gas que ofrece también servicios de telefonía móvil e internet.
"
GAS & POWER,"Gas & Power es la comercializadora de referencia de Naturgy. Opera en el mercado regulado y ofrece las tarifas PVPC y TUR, además del bono social.
"
WOMBBAT,"Wombbat es una empresa comercializadora española que ofrece tarifas de luz 100 % verde y de gas libre de emisiones a hogares y clientes particulares.
"
PODO,"Podo es una compañía comercializadora española que ofrece tarifas de luz 100 % verde y tarifas de gas tanto para hogares como para negocios y pymes.
"
DISA,"El grupo Disa es una de las empresas petroleras con más antigüedad de España. Sus servicios incluyen tarifas de luz y gas para hogares y empresas.
"
GANA ENERGIA,"Gana Energía es una compañía comercializadora valenciana fundada en 2015 que ofrece tarifas de luz y gas para particulares y pequeños negocios.

"
CHC ENERGIA,"CHC Energía es una empresa comercializadora española de electricidad y gas natural del mercado libre que opera a lo largo de todo el territorio nacional.
"
ENERGYA VM,"Enérgya VM es una empresa comercializadora perteneciente al Grupo Villar Mir. Ofrece tarifas de luz 100 % verde y gas para empresas y particulares.
"
OVO ENERGY,"OVO Energy es una comercializadora energética británica que opera en España desde 2019. Ofrece una tarifa de luz 100 % verde destinada a hogares.

"
CATGAS,"Catgas es una compañía comercializadora de energía de origen catalán que ofrece tarifas de luz y gas para empresas y consumidores domésticos.
"
FC ENERGIA,"FC Energía es una empresa comercializadora de tarifas de luz y gas basadas en energía sostenible. Actualmente forma parte del grupo Nexus Energía.

"
NEXUS ENERGIA,"Nexus Energía es un grupo empresarial comercializador de tarifas de luz y gas que destaca por su actividad en el campo de las energías renovables.
"
INTEGRA ENERGIA,"Integra Energía es una comercializadora española que ofrece tarifas de luz y gas para hogares y negocios, así como servicios de eficiencia energética.
"
ACIS ENERGIA,"Acis Energía es una comercializadora de luz y gas enfocada en servicios para autoconsumo, eficiencia energética y movilidad sostenible.
"
ENERXIA GALEGA MAIS,"Enerxía Galega Máis es una comercializadora gallega de tarifas de luz y gas cuyos servicios pueden contratarse en toda la península.

"
SWAP ENERGIA,"Swap Energía ofrece tarifas de luz y gas personalizadas, asesoramiento y un software propio para optimizar costes en hogares y empresas.
"
FORTULUZ,"Fortuluz es una proveedora de energía verde y gas natural que permite calcular de forma online el ahorro en las facturas de sus clientes.
"
CREA ENERGIA,"CreaEnergia es una comercializadora de luz verde y gas natural con tarifas de energía a precio de coste. Ofrece soluciones de autoconsumo.
"
AB ENERGIA,"ab energía comercializa tarifas de luz y gas, además de instalaciones de autoconsumo, puntos de carga de vehículos eléctricos y aerotermia."
